"AAAA","1111","{'杭州': 7, '福州': 2, '瑞典': 2, '成都': 2, '北京': 2, '南京': 2, '海口': 1, '宋朝': 1, '松江': 1, '上海': 1, '新竹': 1, '彰化': 1, '台南': 1, '基隆': 1, '中壢': 1, '成功大學': 1, '台灣大學': 1, '清潔用品': 1, '內湖': 1}","[['杭州', '市', '地方', '空間', '物體', '事物', 'TopNode']]"
"AAAA","123","{'成都': 10, '瑞典': 4, '吉林': 4, '挪威': 3, '昆明': 3, '湖南': 2, '天津': 1, '新竹': 1, '杭州': 1, '南京': 1}","[['成都', '市', '地方', '空間', '物體', '事物', 'TopNode']]"
"AAAA","啞鈴","{'髖': 7, '膝蓋': 2, '滑輪': 2, '拳擊': 2, '桿子': 2, '重量': 1, '肌肉': 1, '骨盆': 1, '腳指甲': 1, '手推車': 1, '裁縫機': 1, '關節': 1, '姿勢': 1, '墊子': 1, '膠布': 1, '紙板': 1, '塑膠': 1, '清潔用品': 1, '胸飾': 1, '體操': 1}","[['髖', '骨', '身體部件', '生物', '物質', '萬物', '物體', '事物', 'TopNode']]"
"AAAA","年輪","{'樹幹': 6, '木麻黃': 5, '樹枝': 4, '鳳凰樹': 3, '樹': 3, '椰子樹': 3, '岩石': 1, '藤蔓': 1, '紋路': 1, '簡冊': 1, '漆樹': 1, '胸飾': 1}","[['樹幹', '樹', '植物', '生物', '物質', '萬物', '物體', '事物', 'TopNode']]"
"AAAA","手錶","{'錶': 10, '勞力士': 7, '計時器': 6, '胸飾': 2, '眼鏡': 1, '電池': 1, '時間值': 1, '石英': 1, '手腕': 1}","[['勞力士', '錶', '計時器', '用具', '器具', '人工物', '無生物', '物質', '萬物', '物體', '事物', 'TopNode']]"
"AAAA","標靶","{'藥物': 6, '麻醉藥': 5, '腫瘤': 3, '阿斯匹靈': 2, '止痛藥': 2, '靶': 1, '箭': 1, '武器': 1, '癌症': 1, '無生物': 1, '維他命': 1, '視網膜': 1, '中藥': 1, '泌尿器': 1, '劣馬': 1, '彈藥': 1, '子彈': 1}","[['藥物', '人工物', '無生物', '物質', '萬物', '物體', '事物', 'TopNode']]"
"AAAA","洞","{'藥物': 6, '麻醉藥': 5, '腫瘤': 3, '阿斯匹靈': 2, '止痛藥': 2, '靶': 1, '箭': 1, '武器': 1, '癌症': 1, '無生物': 1, '維他命': 1, '視網膜': 1, '中藥': 1, '泌尿器': 1, '劣馬': 1, '彈藥': 1, '子彈': 1}","[['洞', '部分', '萬物', '物體', '事物', 'TopNode']]"
"AAAA","甜甜圈","{'奶油': 6, '餅乾': 4, '冰品': 3, '麵包': 3, '三明治': 2, '杯子': 2, '果汁': 1, '汽水': 1, '小吃': 1, '百香果': 1, '清潔用品': 1, '鰹': 1, '糖果': 1, '草莓': 1, '乳酪': 1, '爆米花': 1}","[['奶油', '食用油', '食材', '食物', '人工物', '無生物', '物質', '萬物', '物體', '事物', 'TopNode']]"
"AAAA","甜甜圈","{'奶油': 6, '餅乾': 4, '冰品': 3, '麵包': 3, '三明治': 2, '杯子': 2, '果汁': 1, '汽水': 1, '小吃': 1, '百香果': 1, '清潔用品': 1, '鰹': 1, '糖果': 1, '草莓': 1, '乳酪': 1, '爆米花': 1}","[['奶油', '食用油', '食材', '食物', '人工物', '無生物', '物質', '萬物', '物體', '事物', 'TopNode']]"
"AAAA","眼睛","{'眼': 10, '眼眶': 8, '眼皮': 5, '眼球': 3, '帳子': 2, '耳朵': 1, '腳指甲': 1}","[['眼', '身體部件', '生物', '物質', '萬物', '物體', '事物', 'TopNode']]"
